Budget,Discounted Return mean,Discounted Return std,Return mean,Return std,Episode Length mean,Episode Length std,Discounted Return SE,Return SE,Episode Length SE
8,0.061330319941043855,0.0991020540549487,0.3,0.48304589153964794,44.3,9.214119599831553,0.031338821161476335,0.15275252316519466,2.913760456866693
16,0.06439160406589509,0.10368033264559437,0.3,0.48304589153964794,44.0,9.66091783079296,0.03278659997239894,0.15275252316519466,3.055050463303893
32,0.042927736043930055,0.09049961379554995,0.2,0.42163702135578396,46.0,8.432740427115677,0.028618490695953368,0.13333333333333333,2.666666666666666
