Budget,Discounted Return mean,Discounted Return std,Return mean,Return std,Episode Length mean,Episode Length std,Discounted Return SE,Return SE,Episode Length SE
8,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
16,0.005555089414119721,0.011730364859976512,0.02,0.0421637021355784,29.9,0.21602468994692875,0.00370946707423279,0.013333333333333336,0.06831300510639735
32,0.12209151208400726,0.17214552391354918,0.27999999999999997,0.3938414796731181,26.169999999999998,5.419112268423472,0.0544371944569798,0.12454361128179602,1.7136737664379935
