Budget,Discounted Return mean,Discounted Return std,Return mean,Return std,Episode Length mean,Episode Length std,Discounted Return SE,Return SE,Episode Length SE
8,0.14630246758461,0.23556935296286124,0.3,0.48304589153964794,25.2,7.728734264634367,0.07449357022947758,0.15275252316519466,2.4440403706431146
16,0.14630246758461,0.23556935296286124,0.3,0.48304589153964794,25.2,7.728734264634367,0.07449357022947758,0.15275252316519466,2.4440403706431146
32,0.24383744597434998,0.257027236039067,0.5,0.5270462766947299,22.0,8.432740427115679,0.08127914865811665,0.16666666666666666,2.6666666666666665
