Budget,Discounted Return mean,Discounted Return std,Return mean,Return std,Episode Length mean,Episode Length std,Discounted Return SE,Return SE,Episode Length SE
8,0.48767489194869995,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
