Budget,Discounted Return mean,Discounted Return std,Return mean,Return std,Episode Length mean,Episode Length std,Discounted Return SE,Return SE,Episode Length SE
8,0.1945944735407829,0.16224796621799525,0.4,0.3333333333333333,23.619999999999997,5.320359219284184,0.051307311897892026,0.10540925533894596,1.6824453103213255
16,0.170686212182045,0.19540832642976078,0.35,0.40069384267237695,24.4,6.411101482758031,0.06179353852797227,0.1267105187249881,2.0273682995998095
32,0.21945370137691497,0.20594282226457036,0.45,0.4222953153106643,22.8,6.756725044970628,0.06512483861192779,0.13354150416006752,2.1366640665610803
